2 6.5316 7.1273 0.5957 -16.73680561 6.5316 8.9652 2.4336
3 6.3381 7.0241 0.686 -16.87934898 6.3381 8.8489 2.5108
4 6.2746 6.9661 0.6915 -16.91101573 6.2746 8.8122 2.5376
5 6.2495 6.8210 0.5715 -16.92011932 6.2495 8.7978 2.5483
6 6.2391 6.9446 0.7055 -16.92310547 6.2391 8.7918 2.5527
7 6.2345 6.8043 0.5698 -16.92417628 6.2345 8.7892 2.5547
8 6.2325 6.8451 0.6126 -16.92458622 6.2325 8.7881 2.5556
10 6.2311 6.8099 0.5788 -16.92482010 6.2311 8.7873 2.5562
12 6.2308 6.8011 0.5703 -16.92486311 6.2308 8.7871 2.5563
