L                               1         0.0000000000      0.5000000000      0.5000000000      0.5000000000
G                             101         1.0020027028      0.0000000000      0.0000000000      0.0000000000
X                             216         2.1590157632      0.5000000000      0.0000000000      0.5000000000
K                             307         3.0737149016      0.3750000000      0.3750000000      0.7500000000
G                             429         4.3009125730      0.0000000000      0.0000000000      0.0000000000
