9  --
8  --
7  24.4
6  20.1
5  19.4
4  19.4
3  13.54
2  13.00
1  12.73
## Reference experimental Binding energies from: Chemical Physics Letters Volume 375, 76 (2003)
## https://doi.org/10.1016/S0009-2614(03)00818-2
