    0.0000 -121.7013
    0.0577 -121.6970
    0.1155 -121.6902
    0.1732 -121.6936
    0.2309 -121.7135
    0.2887 -121.7439
    0.3464 -121.7712
    0.4041 -121.7853
    0.4619 -121.7854
    0.5196 -121.7794
    0.5774 -121.7761
    0.6398 -121.7794
    0.7022 -121.7841
    0.7646 -121.7888
    0.8270 -121.7904
    0.8895 -121.7903
    0.9419 -121.7924
    0.9944 -121.7968
    1.0469 -121.8014
    1.0994 -121.8041
    1.1519 -121.8041
    1.2044 -121.8020
    1.2569 -121.7994
    1.3093 -121.7985
    1.3618 -121.8008
    1.4143 -121.8045
    1.4668 -121.8063
    1.5188 -121.7630
    1.5708 -121.7233
    1.6229 -121.7806
    1.6749 -121.9283
    1.7269 -121.9380
    1.7789 -121.7013
    1.8302 -121.6988
    1.8815 -121.6952
    1.9328 -121.6989
    1.9840 -121.7152
    2.0353 -121.7417
    2.0866 -121.7691
    2.1379 -121.7872
    2.1892 -121.7907
    2.2404 -121.7813
    2.2917 -121.7651
    2.3430 -121.7492
    2.3943 -121.7387
    2.4456 -121.7353
    2.4902 -121.7235
    2.5347 -121.6931
    2.5793 -121.6761
    2.6239 -121.6968
    2.6685 -121.7519
    2.7131 -121.8106
    2.7577 -121.8357
 
    0.0000 -121.7013
    0.0577 -121.6969
    0.1155 -121.6901
    0.1732 -121.6934
    0.2309 -121.7134
    0.2887 -121.7438
    0.3464 -121.7712
    0.4041 -121.7852
    0.4619 -121.7854
    0.5196 -121.7793
    0.5774 -121.7761
    0.6398 -121.7714
    0.7022 -121.7648
    0.7646 -121.7584
    0.8270 -121.7534
    0.8895 -121.7512
    0.9419 -121.7407
    0.9944 -121.7165
    1.0469 -121.6928
    1.0994 -121.6799
    1.1519 -121.6781
    1.2044 -121.6798
    1.2569 -121.6792
    1.3093 -121.6756
    1.3618 -121.6718
    1.4143 -121.6698
    1.4668 -121.6694
    1.5188 -121.7050
    1.5708 -121.7127
    1.6229 -121.5991
    1.6749 -121.4170
    1.7269 -121.4346
    1.7789 -121.7013
    1.8302 -121.6987
    1.8815 -121.6950
    1.9328 -121.6987
    1.9840 -121.7150
    2.0353 -121.7415
    2.0866 -121.7690
    2.1379 -121.7871
    2.1892 -121.7907
    2.2404 -121.7812
    2.2917 -121.7650
    2.3430 -121.7492
    2.3943 -121.7387
    2.4456 -121.7352
    2.4902 -121.7130
    2.5347 -121.6693
    2.5793 -121.6346
    2.6239 -121.6345
    2.6685 -121.6692
    2.7131 -121.7129
    2.7577 -121.7323
 
    0.0000  -75.0647
    0.0577  -75.0673
    0.1155  -75.0707
    0.1732  -75.0714
    0.2309  -75.0694
    0.2887  -75.0764
    0.3464  -75.0902
    0.4041  -75.0967
    0.4619  -75.0953
    0.5196  -75.0901
    0.5774  -75.0869
    0.6398  -75.0958
    0.7022  -75.0951
    0.7646  -75.0806
    0.8270  -75.0674
    0.8895  -75.0619
    0.9419  -75.0682
    0.9944  -75.0777
    1.0469  -75.0858
    1.0994  -75.0925
    1.1519  -75.0895
    1.2044  -75.0916
    1.2569  -75.1097
    1.3093  -75.1283
    1.3618  -75.1343
    1.4143  -75.1253
    1.4668  -75.1017
    1.5188  -75.0945
    1.5708  -75.0813
    1.6229  -75.0963
    1.6749  -75.1486
    1.7269  -75.1197
    1.7789  -75.0647
    1.8302  -75.0659
    1.8815  -75.0649
    1.9328  -75.0660
    1.9840  -75.0756
    2.0353  -75.0924
    2.0866  -75.1094
    2.1379  -75.1192
    2.1892  -75.1175
    2.2404  -75.1050
    2.2917  -75.0882
    2.3430  -75.0764
    2.3943  -75.0796
    2.4456  -75.0905
    2.4902  -75.0991
    2.5347  -75.1000
    2.5793  -75.1007
    2.6239  -75.1080
    2.6685  -75.1217
    2.7131  -75.1356
    2.7577  -75.1415
 
    0.0000  -75.0647
    0.0577  -75.0673
    0.1155  -75.0706
    0.1732  -75.0713
    0.2309  -75.0693
    0.2887  -75.0762
    0.3464  -75.0900
    0.4041  -75.0965
    0.4619  -75.0951
    0.5196  -75.0898
    0.5774  -75.0866
    0.6398  -75.0773
    0.7022  -75.0759
    0.7646  -75.0763
    0.8270  -75.0610
    0.8895  -75.0501
    0.9419  -75.0479
    0.9944  -75.0498
    1.0469  -75.0741
    1.0994  -75.0853
    1.1519  -75.0803
    1.2044  -75.0869
    1.2569  -75.0953
    1.3093  -75.1026
    1.3618  -75.1071
    1.4143  -75.1063
    1.4668  -75.1006
    1.5188  -75.0908
    1.5708  -75.0763
    1.6229  -75.0712
    1.6749  -75.0691
    1.7269  -75.0698
    1.7789  -75.0647
    1.8302  -75.0659
    1.8815  -75.0649
    1.9328  -75.0659
    1.9840  -75.0756
    2.0353  -75.0923
    2.0866  -75.1092
    2.1379  -75.1191
    2.1892  -75.1174
    2.2404  -75.1048
    2.2917  -75.0879
    2.3430  -75.0761
    2.3943  -75.0795
    2.4456  -75.0905
    2.4902  -75.0717
    2.5347  -75.0531
    2.5793  -75.0460
    2.6239  -75.0477
    2.6685  -75.0581
    2.7131  -75.0701
    2.7577  -75.0754
 
    0.0000  -75.0598
    0.0577  -75.0554
    0.1155  -75.0475
    0.1732  -75.0458
    0.2309  -75.0553
    0.2887  -75.0607
    0.3464  -75.0570
    0.4041  -75.0537
    0.4619  -75.0524
    0.5196  -75.0537
    0.5774  -75.0552
    0.6398  -75.0636
    0.7022  -75.0619
    0.7646  -75.0431
    0.8270  -75.0242
    0.8895  -75.0145
    0.9419  -75.0229
    0.9944  -75.0443
    1.0469  -75.0573
    1.0994  -75.0678
