  0.00000000E+00  0.76807886E+01
  0.10020027E-01  0.76808642E+01
  0.20040054E-01  0.76810951E+01
  0.30060081E-01  0.76814935E+01
  0.40080108E-01  0.76820791E+01
  0.50100135E-01  0.76828787E+01
  0.60120162E-01  0.76839255E+01
  0.70140189E-01  0.76852577E+01
  0.80160216E-01  0.76869176E+01
  0.90180243E-01  0.76889504E+01
  0.10020027E+00  0.76914032E+01
  0.11022030E+00  0.76943232E+01
  0.12024032E+00  0.76977568E+01
  0.13026035E+00  0.77017484E+01
  0.14028038E+00  0.77063393E+01
  0.15030041E+00  0.77115666E+01
  0.16032043E+00  0.77174621E+01
  0.17034046E+00  0.77240515E+01
  0.18036049E+00  0.77313537E+01
  0.19038051E+00  0.77393800E+01
  0.20040054E+00  0.77481336E+01
  0.21042057E+00  0.77576091E+01
  0.22044059E+00  0.77677926E+01
  0.23046062E+00  0.77786610E+01
  0.24048065E+00  0.77901831E+01
  0.25050068E+00  0.78023196E+01
  0.26052070E+00  0.78150237E+01
  0.27054073E+00  0.78282426E+01
  0.28056076E+00  0.78419183E+01
  0.29058078E+00  0.78559894E+01
  0.30060081E+00  0.78703924E+01
  0.31062084E+00  0.78850636E+01
  0.32064086E+00  0.78999409E+01
  0.33066089E+00  0.79149652E+01
  0.34068092E+00  0.79300825E+01
  0.35070095E+00  0.79452447E+01
  0.36072097E+00  0.79604114E+01
  0.37074100E+00  0.79755504E+01
  0.38076103E+00  0.79906384E+01
  0.39078105E+00  0.80056614E+01
  0.40080108E+00  0.80206146E+01
  0.41082111E+00  0.80355020E+01
  0.42084114E+00  0.80503360E+01
  0.43086116E+00  0.80651365E+01
  0.44088119E+00  0.80799296E+01
  0.45090122E+00  0.80947470E+01
  0.46092124E+00  0.81096247E+01
  0.47094127E+00  0.81246017E+01
  0.48096130E+00  0.81397190E+01
  0.49098132E+00  0.81550186E+01
  0.50100135E+00  0.81705425E+01
  0.51102138E+00  0.81863321E+01
  0.52104141E+00  0.82024269E+01
  0.53106143E+00  0.82188645E+01
  0.54108146E+00  0.82356794E+01
  0.55110149E+00  0.82529026E+01
  0.56112151E+00  0.82705606E+01
  0.57114154E+00  0.82886751E+01
  0.58116157E+00  0.83072615E+01
  0.59118159E+00  0.83263284E+01
  0.60120162E+00  0.83458761E+01
  0.61122165E+00  0.83658959E+01
  0.62124168E+00  0.83863689E+01
  0.63126170E+00  0.84072648E+01
  0.64128173E+00  0.84285411E+01
  0.65130176E+00  0.84501426E+01
  0.66132178E+00  0.84720008E+01
  0.67134181E+00  0.84940339E+01
  0.68136184E+00  0.85161471E+01
  0.69138186E+00  0.85382333E+01
  0.70140189E+00  0.85601743E+01
  0.71142192E+00  0.85818419E+01
  0.72144195E+00  0.86031004E+01
  0.73146197E+00  0.86238082E+01
  0.74148200E+00  0.86438202E+01
  0.75150203E+00  0.86629908E+01
  0.76152205E+00  0.86811763E+01
  0.77154208E+00  0.86982377E+01
  0.78156211E+00  0.87140435E+01
  0.79158214E+00  0.87284725E+01
  0.80160216E+00  0.87414166E+01
  0.81162219E+00  0.87527832E+01
  0.82164222E+00  0.87624980E+01
  0.83166224E+00  0.87705077E+01
  0.84168227E+00  0.87767825E+01
  0.85170230E+00  0.87813195E+01
  0.86172232E+00  0.87841453E+01
  0.87174235E+00  0.87853196E+01
  0.88176238E+00  0.87849387E+01
  0.89178241E+00  0.87831381E+01
  0.90180243E+00  0.87800944E+01
  0.91182246E+00  0.87760257E+01
  0.92184249E+00  0.87711886E+01
  0.93186251E+00  0.87658721E+01
  0.94188254E+00  0.87603872E+01
  0.95190257E+00  0.87550535E+01
  0.96192259E+00  0.87501823E+01
  0.97194262E+00  0.87460591E+01
  0.98196265E+00  0.87429267E+01
  0.99198268E+00  0.87409699E+01
  0.10020027E+01  0.87403046E+01
  0.10120637E+01  0.87389613E+01
  0.10221247E+01  0.87349836E+01
  0.10321857E+01  0.87285180E+01
  0.10422466E+01  0.87197819E+01
  0.10523076E+01  0.87090310E+01
  0.10623686E+01  0.86965280E+01
  0.10724296E+01  0.86825167E+01
  0.10824906E+01  0.86672053E+01
  0.10925516E+01  0.86507580E+01
  0.11026125E+01  0.86332940E+01
  0.11126735E+01  0.86148908E+01
  0.11227345E+01  0.85955910E+01
  0.11327955E+01  0.85754106E+01
  0.11428565E+01  0.85543473E+01
  0.11529174E+01  0.85323892E+01
  0.11629784E+01  0.85095223E+01
  0.11730394E+01  0.84857368E+01
  0.11831004E+01  0.84610322E+01
  0.11931614E+01  0.84354208E+01
  0.12032224E+01  0.84089298E+01
  0.12132833E+01  0.83816024E+01
  0.12233443E+01  0.83534970E+01
  0.12334053E+01  0.83246857E+01
  0.12434663E+01  0.82952521E+01
  0.12535273E+01  0.82652883E+01
  0.12635883E+01  0.82348916E+01
  0.12736492E+01  0.82041605E+01
  0.12837102E+01  0.81731918E+01
  0.12937712E+01  0.81420766E+01
  0.13038322E+01  0.81108977E+01
  0.13138932E+01  0.80797265E+01
  0.13239542E+01  0.80486212E+01
  0.13340151E+01  0.80176248E+01
  0.13440761E+01  0.79867647E+01
  0.13541371E+01  0.79560517E+01
  0.13641981E+01  0.79254809E+01
  0.13742591E+01  0.78950319E+01
  0.13843201E+01  0.78646708E+01
  0.13943810E+01  0.78343520E+01
  0.14044420E+01  0.78040200E+01
  0.14145030E+01  0.77736129E+01
  0.14245640E+01  0.77430647E+01
  0.14346250E+01  0.77123087E+01
  0.14446860E+01  0.76812804E+01
  0.14547469E+01  0.76499211E+01
  0.14648079E+01  0.76181802E+01
